Uniname,Majorname
"California State University, Stanislaus",Education
"California State University, Stanislaus",Communications
"California State University, Stanislaus",Finance and Accounting
"California State University, Stanislaus",Criminal Justice
"California State University, Stanislaus",Anthropology
"California State University, Stanislaus",Computer Science
"California State University, Stanislaus",English
"California State University, Stanislaus",Economics
"California State University, Stanislaus",Political Science
"California State University, Stanislaus",History
"California State University, Stanislaus",Kinesiology and Physical Therapy
"California State University, Stanislaus",Art
"California State University, Stanislaus",Math
"California State University, Stanislaus",Environmental Science
"California State University, Stanislaus",Foreign Languages
"California State University, Stanislaus",Chemistry
Humboldt State University,Business and Management
Humboldt State University,Nursing
Humboldt State University,Psychology
Humboldt State University,Biology
Humboldt State University,Engineering
Humboldt State University,Education
Humboldt State University,Communications
Humboldt State University,Criminal Justice
Humboldt State University,Anthropology
Humboldt State University,Computer Science
Humboldt State University,English
Humboldt State University,Economics
Humboldt State University,Political Science
Humboldt State University,History
Humboldt State University,Kinesiology and Physical Therapy
Humboldt State University,Art
Humboldt State University,Math
Humboldt State University,Environmental Science
San Diego State University,Business and Management
San Diego State University,Nursing
San Diego State University,Psychology
San Diego State University,Biology
San Diego State University,Engineering
San Diego State University,Education
San Diego State University,Communications
San Diego State University,Finance and Accounting
San Diego State University,Criminal Justice
San Diego State University,Anthropology
San Francisco State University,Business and Management
San Francisco State University,Nursing
San Francisco State University,Psychology
San Francisco State University,Biology
San Francisco State University,Engineering
San Francisco State University,Education
San Francisco State University,Communications
San Francisco State University,Finance and Accounting
San Francisco State University,Criminal Justice
San Francisco State University,Anthropology
San Francisco State University,Computer Science
San Francisco State University,English
San Francisco State University,Economics
San Francisco State University,Political Science
San Francisco State University,History
San Francisco State University,Kinesiology and Physical Therapy
San Francisco State University,Art
San Francisco State University,Math
San Francisco State University,Environmental Science
San Francisco State University,Foreign Languages
San Francisco State University,Chemistry
San Jose State University,Business and Management
San Jose State University,Nursing
San Jose State University,Psychology
San Jose State University,Biology
San Jose State University,Engineering
San Jose State University,Education
San Jose State University,Communications
San Jose State University,Finance and Accounting
San Jose State University,Criminal Justice
San Jose State University,Anthropology
San Jose State University,Computer Science
San Jose State University,English
San Jose State University,Economics
San Jose State University,Political Science
San Jose State University,History
San Jose State University,Kinesiology and Physical Therapy
San Jose State University,Art
San Jose State University,Math
San Jose State University,Environmental Science
San Jose State University,Foreign Languages
San Jose State University,Chemistry
Sonoma State University,Business and Management
Sonoma State University,Nursing
Sonoma State University,Psychology
Sonoma State University,Biology
Sonoma State University,Engineering
Sonoma State University,Education
Sonoma State University,Communications
Sonoma State University,Finance and Accounting
Sonoma State University,Criminal Justice
Sonoma State University,Anthropology
Sonoma State University,Computer Science
Sonoma State University,English
Sonoma State University,Economics
Sonoma State University,Political Science
Sonoma State University,History
Sonoma State University,Kinesiology and Physical Therapy
Sonoma State University,Art
Sonoma State University,Math
Azusa Pacific University,Nursing
Azusa Pacific University,Biology
Azusa Pacific University,Engineering
Azusa Pacific University,Music Education
Azusa Pacific University,Communication Management
Azusa Pacific University,Finance
Azusa Pacific University,Accounting
Azusa Pacific University,Criminal Justice
Azusa Pacific University,Computer Science
Azusa Pacific University,English
Azusa Pacific University,Business Economics Major
Azusa Pacific University,Politcal Science
Azusa Pacific University,History
Azusa Pacific University,Kinesiology
Azusa Pacific University,Art
Azusa Pacific University,Mathematics
Azusa Pacific University,Spanish
Azusa Pacific University,Chemistry
Azusa Pacific University,Music
Azusa Pacific University,Sociology
Biola University ,Business Administration
Biola University ,Nursing
Biola University ,Psychology
Biola University ,Biology
Biola University ,Engineering Physics
Biola University ,Education
Biola University ,Communication Studies
Biola University ,Finance
Biola University ,Accounting
Biola University ,Anthropology
Biola University ,Computer Science
Biola University ,English
Biola University ,Political Science
Biola University ,History
Biola University ,Kinesiology
Biola University ,Art
Biola University ,Mathematics
Biola University ,Environmental Science
Biola University ,Spanish
Biola University ,Chemistry
Biola University ,Music
Biola University ,Sociology
